                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0433,                 1.9225,                 1.3347,                0.49214,                0.64762,                0.57978,                 0.3844,                 1.1717,                 1.5793,                 1.6062,             0.00055482,             0.00055482,             0.00055482
                      2,                 1.0913,                 1.3927,                 1.3631,                0.66349,                0.53741,                0.60905,                0.39439,                  1.272,                  1.401,                 1.6772,              0.0010555,              0.0010555,              0.0010555
                      3,                  1.062,                 1.2501,                 1.3346,                0.64758,                0.60894,                0.67575,                0.45265,                 1.1548,                 1.3237,                 1.6115,              0.0015012,              0.0015012,              0.0015012
                      4,                0.98701,                 1.1071,                 1.2853,                0.76065,                0.66142,                0.77653,                 0.5512,                 1.0494,                 1.1131,                 1.4775,              0.0014195,              0.0014195,              0.0014195
                      5,                0.91316,                0.97419,                 1.2344,                0.73556,                0.67502,                0.76519,                0.55205,                 1.0337,                 1.1487,                 1.4608,              0.0013369,              0.0013369,              0.0013369
                      6,                0.85191,                0.88337,                  1.193,                0.85123,                0.77342,                0.87391,                0.66753,                0.84227,                 0.8216,                 1.3138,              0.0012544,              0.0012544,              0.0012544
                      7,                 0.8066,                 0.8054,                 1.1648,                0.79926,                0.71327,                0.81646,                0.62161,                0.90979,                0.91616,                 1.3542,              0.0011719,              0.0011719,              0.0011719
                      8,                0.76269,                0.73507,                 1.1367,                0.86179,                0.71659,                  0.852,                0.66906,                0.83991,                0.82926,                 1.3151,              0.0010894,              0.0010894,              0.0010894
                      9,                0.71446,                0.68883,                 1.1106,                0.88628,                0.77473,                0.87959,                0.70396,                0.81303,                0.77015,                 1.2962,              0.0010069,              0.0010069,              0.0010069
                     10,                 0.6959,                0.64809,                 1.1007,                0.86213,                0.82535,                0.89623,                0.72956,                0.78507,                0.69016,                 1.2787,             0.00092435,             0.00092435,             0.00092435
                     11,                0.51425,                0.41192,                0.98276,                  0.883,                0.81468,                0.89642,                0.74173,                 0.7345,                0.70545,                 1.2614,             0.00084184,             0.00084184,             0.00084184
                     12,                0.47135,                0.37529,                0.95366,                0.89415,                0.80548,                0.90309,                0.75486,                0.72295,                0.67623,                 1.2272,             0.00075932,             0.00075932,             0.00075932
                     13,                0.43517,                0.33105,                0.92933,                0.88966,                0.80976,                0.90122,                0.76507,                0.67373,                0.66203,                 1.2017,              0.0006768,              0.0006768,              0.0006768
                     14,                0.40264,                0.29902,                0.90811,                0.92979,                0.80146,                0.91472,                0.78437,                0.65749,                 0.5988,                 1.2015,             0.00059429,             0.00059429,             0.00059429
                     15,                0.37267,                0.27738,                0.89235,                0.90009,                0.85099,                0.92381,                0.80006,                0.63956,                0.59526,                 1.2024,             0.00051177,             0.00051177,             0.00051177
                     16,                0.34491,                0.25264,                0.87629,                0.89912,                0.84083,                0.91856,                0.80395,                0.62608,                0.59208,                 1.2014,             0.00042925,             0.00042925,             0.00042925
                     17,                0.32022,                0.23311,                0.86385,                0.93633,                0.83795,                 0.9228,                0.81526,                0.61119,                 0.5563,                 1.1902,             0.00034674,             0.00034674,             0.00034674
                     18,                0.29682,                0.21399,                0.85045,                0.91345,                0.86601,                0.94205,                0.83045,                0.58392,                0.52929,                  1.173,             0.00026422,             0.00026422,             0.00026422
                     19,                0.27978,                0.19939,                0.84435,                0.93461,                0.85155,                0.93247,                0.82429,                 0.5915,                0.56174,                  1.188,              0.0001817,              0.0001817,              0.0001817
                     20,                0.26081,                0.18594,                0.83579,                0.91948,                0.86896,                0.93905,                0.83194,                 0.5729,                0.52178,                  1.186,             9.9187e-05,             9.9187e-05,             9.9187e-05
